Vmfcc1Mean,Vmfcc1SD,Vmfcc2Mean,Vmfcc2SD,Vmfcc3Mean,Vmfcc3SD,Vmfcc4Mean,Vmfcc4SD,Vmfcc5Mean,Vmfcc5SD,Vmfcc6Mean,Vmfcc6SD,Vmfcc7Mean,Vmfcc7SD,Vmfcc8Mean,Vmfcc8SD,Vmfcc9Mean,Vmfcc9SD,Vmfcc10Mean,Vmfcc10SD,Vmfcc11Mean,Vmfcc11SD,Vmfcc12Mean,Vmfcc12SD,Vmfcc13Mean,Vmfcc13SD,Vmfcc14Mean,Vmfcc14SD,Vmfcc15Mean,Vmfcc15SD,Vmfcc16Mean,Vmfcc16SD,Vmfcc17Mean,Vmfcc17SD,Vmfcc18Mean,Vmfcc18SD,Vmfcc19Mean,Vmfcc19SD,Vmfcc20Mean,Vmfcc20SD,Label
-11.26598199,0.499792182,5.359682697,0.201373845,-1.515315801,0.202300072,-0.217100916,0.249469207,-0.23616764,0.159681226,-0.11475557,0.118610514,-0.22065341,0.137027791,-0.320568727,0.121062801,0.64663551,0.138604303,-0.265595047,0.121383313,0.308608012,0.090291863,0.055071563,0.098695385,0.285664483,0.140961161,-0.537187231,0.143096351,0.036451161,0.084759326,0.241228905,0.098444979,-0.281315618,0.093987361,0.144588542,0.082698685,0.311618613,0.086024625,0.114685899,0.08189891,Normal
-10.90949754,0.452731298,3.241314114,0.194564442,-0.448345185,0.097288553,0.07386689,0.271524522,-1.6831566,0.318776209,0.543806307,0.142316119,-0.11916726,0.122956871,0.0809909,0.1888066,-0.501755652,0.192257911,0.171206818,0.10104741,0.367057787,0.165301023,0.539332551,0.229999647,-0.342911148,0.14550179,0.293990792,0.174698632,-0.07806415,0.148846885,-0.463516853,0.23770149,0.554048043,0.09816201,-0.257405347,0.132186795,0.033901956,0.115470707,0.136455496,0.148641253,Normal
-12.38927483,0.459543172,3.01677492,0.191339228,-1.15888913,0.143390598,-0.444914514,0.134433671,-1.061472655,0.119840543,2.204746356,0.153451615,-0.286934619,0.132802083,0.415846216,0.147044231,0.265542551,0.10708712,-0.15603311,0.095224476,-0.230650667,0.14598427,-0.793485025,0.152126351,0.54973502,0.088712471,0.250602798,0.139860612,0.887248092,0.120491146,-0.515927583,0.08268557,0.183550903,0.112421583,-0.01495729,0.086756374,-0.074677247,0.111798493,0.071252016,0.096084276,Normal
-11.81919212,0.318497593,3.651462198,0.24639156,-1.754720018,0.152207526,-0.213084489,0.076550974,-1.520277429,0.101876574,2.022456904,0.167244803,-0.716961783,0.057530735,0.118722217,0.081210923,0.14930076,0.056375203,-0.071315447,0.067238341,0.240231742,0.074109019,-0.261319084,0.06895989,0.091985798,0.063210951,-0.206659085,0.04505354,0.574219754,0.087143618,-0.508347893,0.056735606,0.380308838,0.071961881,-0.088370422,0.06583406,-0.4448899,0.073366688,-0.339695795,0.044006779,Normal
-13.30601247,0.485850845,5.443237132,0.231365414,-0.382032345,0.162567579,-0.019857884,0.173344749,-0.098062931,0.170367271,-0.312607618,0.182573518,-0.382581709,0.165912636,-0.291635267,0.139826509,0.789447033,0.153871798,0.138113735,0.128289248,-0.169137895,0.135863234,0.284921345,0.109321407,0.105064512,0.111706326,-0.534801723,0.118623095,0.249645231,0.120219418,0.228728599,0.123445133,-0.173029569,0.126207744,0.197517028,0.129748434,0.14960601,0.131532688,-0.04684675,0.120169327,Normal
-10.33966149,0.315655931,4.563527212,0.207865781,-1.097904392,0.148752024,-0.136693287,0.167772077,-0.431949593,0.118439707,0.47903796,0.106110893,-0.851483446,0.134035679,-0.388902405,0.131995229,0.427505672,0.115913024,0.335999648,0.12794277,-0.485320176,0.098620385,-0.120178006,0.132303881,0.616078831,0.12585423,-0.344320692,0.12993938,0.066045327,0.109530703,0.181101418,0.093038524,-0.152588591,0.128227856,0.145158038,0.150987232,0.081573165,0.089758979,-0.026137863,0.081824108,Normal
-10.6033282,0.438712981,4.744495814,0.258079816,-0.850435593,0.171164738,0.102025362,0.1986618,-0.807033252,0.191250456,-0.045948508,0.134250149,-0.017291382,0.151558222,0.18613626,0.112507456,-0.107597629,0.098937143,0.049538607,0.111670442,0.182730409,0.145653271,0.037486743,0.106976114,0.259113615,0.130810121,-0.051478428,0.112654676,0.052364174,0.08615929,0.113732179,0.11109166,-0.092862245,0.164189856,0.058775905,0.153484969,0.212590906,0.133317874,-0.18541936,0.089063143,Normal
-12.89474101,0.667363196,3.647533295,0.249223229,-0.424983314,0.1183648,-0.783604774,0.351771471,-0.73396897,0.237514996,-0.074470059,0.098477523,0.479399971,0.108470977,-0.161545678,0.148309428,-0.04259658,0.178735589,0.254877886,0.266070113,0.580042911,0.312239912,0.505111543,0.161179621,-0.316732472,0.152596189,0.357461822,0.117918084,-0.41092112,0.169050992,-0.197410725,0.124170724,0.25138446,0.176148515,-0.008881238,0.09842691,0.027195286,0.119924756,0.088317022,0.135028326,Normal
-11.71887933,0.232710503,3.895931491,0.197657676,-1.471095638,0.065863448,-0.875139549,0.069460489,-0.948519508,0.082232217,0.885455041,0.086091131,0.072675325,0.064925559,-0.435015225,0.072663214,0.346571866,0.088722127,0.210659194,0.108513997,0.291667524,0.054701508,-0.774567805,0.088516111,0.491073454,0.092302107,-0.261410867,0.107442286,0.378734482,0.057447759,0.075317222,0.089358124,-0.509752551,0.060035044,0.435780169,0.063976192,0.036065604,0.050353029,0.076959906,0.063597918,Normal
-10.31376312,0.289987952,2.815372499,0.13347695,1.083050281,0.171856532,-1.016191203,0.129402938,-1.753486405,0.16219438,0.418353485,0.078862881,0.405748885,0.115530563,-0.049934321,0.087850527,-0.449504523,0.121199979,0.123257766,0.077147113,-0.168153459,0.08099785,0.142215823,0.073367077,0.382581264,0.114663733,0.018693661,0.142444271,-0.591599912,0.071804727,0.169479241,0.11884876,0.313608475,0.12134694,-0.095280442,0.133177649,0.219944602,0.061151704,-0.059361806,0.098223169,Normal
