vrmsMean,vrmsSD,vzcMean,vzcSD,vscMean,vscSD,vtscMean,vtscSD,vsdMean,vsdSD,vtfMean,vtfSD,vsfMean,vsfSD,vskMean,vskSD,vsrMean,vsrSD,vsskMean,vsskSD,vsslMean,vsslSD,vssMean,vssSD,vtprMean,vtprSD,Vmfcc1Mean,Vmfcc1SD,Vmfcc2Mean,Vmfcc2SD,Vmfcc3Mean,Vmfcc3SD,Vmfcc4Mean,Vmfcc4SD,Vmfcc5Mean,Vmfcc5SD,Vmfcc6Mean,Vmfcc6SD,Vmfcc7Mean,Vmfcc7SD,Vmfcc8Mean,Vmfcc8SD,Vmfcc9Mean,Vmfcc9SD,Vmfcc10Mean,Vmfcc10SD,Vmfcc11Mean,Vmfcc11SD,Vmfcc12Mean,Vmfcc12SD,Vmfcc13Mean,Vmfcc13SD,Vmfcc14Mean,Vmfcc14SD,Vmfcc15Mean,Vmfcc15SD,Vmfcc16Mean,Vmfcc16SD,Vmfcc17Mean,Vmfcc17SD,Vmfcc18Mean,Vmfcc18SD,Vmfcc19Mean,Vmfcc19SD,Vmfcc20Mean,Vmfcc20SD,Class
-9.486338699,0.929731546,0.0343304,0.013861002,350.9227541,346.5575967,0.123167062,0.0144723,0.191696282,0.01822807,0.063792612,0.053175801,0.019605659,0.016215589,8136.368201,981.6904157,1408.173871,524.1382833,5.683654302,0.587233851,-0.027263241,0.003764207,393.040171,150.2349418,0.548074816,0.147613409,-10.71503641,1.799596931,5.551365743,0.455436389,-1.286960245,0.225080443,0.061076223,0.141231055,-0.283228479,0.160218011,0.751110297,0.15278652,0.139991777,0.134392072,0.059558036,0.132162905,0.23817517,0.123285814,0.095645851,0.120731826,0.484167616,0.101882735,0.115199243,0.106274766,0.011023011,0.108216416,0.046335539,0.094979686,0.413415245,0.091521636,-0.067633249,0.085412255,-0.188050381,0.097591922,-0.151792395,0.088412549,0.060441784,0.068823503,-0.050343246,0.068990634,Normal
-8.915068088,0.728880309,0.029929409,0.007684013,349.4447357,199.8711005,0.138469183,0.015473501,0.133805841,0.021964653,0.086724054,0.051248278,0.04921369,0.027104231,3994.52221,741.3549803,1450.315815,505.5216425,6.044228744,0.56919758,-0.026591573,0.003079425,393.0273685,169.0964309,0.632980029,0.052238747,-10.49096096,1.473400917,4.876905303,0.319329703,0.290783008,0.238870342,-0.239253374,0.1973891,0.033402012,0.181298944,-0.128529784,0.154580464,0.832088365,0.149545444,-0.867276628,0.152637652,0.920158078,0.157043968,0.501522596,0.158738294,0.039028688,0.155591148,0.385977392,0.152256626,-0.556708814,0.133555264,-0.113518883,0.13987938,0.550726558,0.152901552,-0.141419342,0.150099772,0.303564879,0.151417489,-0.425569337,0.127847862,0.008499434,0.13156325,-0.073656044,0.107893609,Normal
-13.27279103,1.527539785,0.036623885,0.007364331,439.9008654,220.9061698,0.085790703,0.013554536,0.089162795,0.061271851,0.110110615,0.052979695,0.065712557,0.016312098,4321.575655,924.2593051,1602.559832,627.4378631,4.534936971,0.505855786,-0.017958677,0.004572297,407.3181435,174.801444,0.410838527,0.146681984,-11.24696094,1.775127998,4.18042034,0.383831555,0.858401927,0.246908772,-0.108485271,0.178385851,-0.339687464,0.167800751,0.665116868,0.154285465,-0.730211215,0.181875317,-0.101158539,0.182713453,-0.805162006,0.197556207,0.199657717,0.151299764,0.437511424,0.151490922,0.26109818,0.131472239,-0.055174525,0.150530999,-0.147712624,0.143474561,0.699027058,0.143839017,-0.198764821,0.12647908,0.260551929,0.116556553,-0.049909545,0.102024369,-0.055042973,0.101265903,-0.155638896,0.082015348,Normal
-14.34453745,1.927400583,0.04144581,0.007369301,501.7495348,129.142901,0.120719282,0.013887655,0.089575608,0.013484785,0.136562087,0.040540017,0.011740958,0.00748413,3897.315719,505.938943,1572.03649,400.6562997,5.362884671,0.488633414,-0.014224919,0.003463418,461.7827011,111.955168,0.602013708,0.037369399,-11.59948492,1.109180351,4.95669616,0.296701677,-0.200181746,0.198608957,-0.136005048,0.152775734,-0.32497627,0.169385067,0.556480006,0.153348322,0.265194577,0.218131628,-0.308598019,0.121039014,0.13098987,0.137072885,0.675309536,0.142428632,0.151572712,0.130767552,-0.434500255,0.146590693,0.464213506,0.127238551,-0.152927345,0.097270228,0.059171512,0.092975814,0.185042438,0.092061443,0.107112233,0.08964346,-0.005018762,0.081856523,0.420692557,0.085929961,-0.162086087,0.073025964,Normal
-12.2731889,2.513982305,0.062193956,0.010490344,645.072134,143.1876655,0.11291294,0.011713303,0.089121705,0.01195157,0.119838895,0.044209349,0.02390909,0.017215443,3286.828768,477.2075723,1793.947551,405.1142177,5.638576362,0.519333361,-0.018372053,0.004914088,478.0628273,120.527279,0.599093142,0.043568287,-10.32082911,1.631432304,4.022424538,0.283743893,-0.308946179,0.22804008,-1.01994488,0.194960499,0.39978651,0.16984365,0.206504827,0.112127403,0.170274705,0.135293515,0.098643946,0.113956663,1.043044114,0.162818263,0.123463109,0.123688421,0.342659077,0.121495271,0.007244437,0.121610302,-0.125096355,0.110807118,0.216576604,0.129658521,0.235000784,0.101269789,0.0207399,0.116819704,0.131613191,0.113664513,0.329543282,0.096477655,0.034745724,0.103544758,0.041730704,0.095491732,Normal
-9.530868096,0.658336479,0.047346419,0.004444348,619.624819,197.1659753,0.106719849,0.008777935,0.09367249,0.007913221,0.115245761,0.051785463,0.02354741,0.015011699,5050.181228,801.2395444,1886.559885,500.1172227,4.981576341,0.312437091,-0.026195262,0.002710078,487.3671514,160.7479762,0.604521919,0.045068569,-9.156824898,1.429699496,4.33153263,0.276996267,-0.897082121,0.132358342,0.154248727,0.08730922,-0.641205636,0.097144539,0.853146307,0.097520706,0.075129003,0.089695389,0.159743955,0.085576314,0.572060842,0.108681957,0.285632296,0.074598705,-0.121283277,0.091169938,-0.15993343,0.064893624,0.25636157,0.072287935,-0.078725474,0.068954044,0.254168681,0.068074857,-0.014278735,0.072436126,-0.11408522,0.057904885,0.239433484,0.053483082,0.206834843,0.054391643,0.099686428,0.057118539,Normal
-14.08867172,1.528030404,0.049946282,0.010031305,655.442938,208.0100323,0.080370459,0.013999815,0.076444401,0.041534056,0.160002322,0.048357849,0.055693202,0.012410979,1356.225103,269.8504527,4156.228346,452.5658622,4.83375888,0.619985574,-0.016244535,0.0037115,802.4344996,202.8868873,0.397221457,0.106224737,-10.6279358,1.714544129,2.841171722,0.254169693,1.440749814,0.29778296,-0.160634515,0.42690252,-0.882181646,0.442512963,0.268594813,0.527899991,-0.182624017,0.402462462,-0.394450167,0.22738439,-0.901627403,0.158111532,-0.141073593,0.168524383,1.128003871,0.246733269,-0.175664361,0.213909906,0.526848148,0.165603577,0.098285382,0.133348694,0.067481468,0.130890859,0.082524171,0.148293998,0.1657381,0.160543751,0.144860816,0.112353508,-0.317878156,0.117350971,0.134721646,0.099377694,Normal
-8.484975041,0.430818338,0.033829203,0.009117487,318.0096464,197.1450903,0.197431299,0.022006765,0.125849356,0.012594225,0.086441148,0.052534901,0.015979584,0.0157773,5652.877779,823.9102542,1378.857737,502.1897924,7.896058768,0.680163412,-0.023037177,0.002018065,300.5786542,165.9425466,0.647757665,0.043613551,-11.03803717,1.326949337,5.109088296,0.335510328,0.136404777,0.229519945,-0.025095891,0.174722206,-0.328467849,0.219099819,1.491252214,0.21795758,-0.079089589,0.183700379,0.259923712,0.11881126,-0.192705951,0.099068815,0.514186773,0.121100255,-0.100467876,0.120574764,0.377503768,0.187100939,-0.180618552,0.184704272,-0.134656557,0.176707698,0.162263616,0.162299294,0.204460015,0.101555158,-0.110545792,0.143805029,0.257283691,0.124702105,0.014864765,0.087624024,0.208909767,0.091166527,Normal
-9.42545676,0.817398921,0.028072294,0.002644064,359.9554925,197.4958108,0.147375414,0.018359367,0.123409071,0.021479357,0.071981182,0.052911327,0.023395968,0.012869386,7925.682627,1078.317775,1337.881776,507.9409623,6.874652676,0.804281931,-0.023570673,0.003462295,329.3329807,165.2763299,0.545799704,0.036925817,-10.54140675,1.411313907,4.729918997,0.31699355,-0.01590113,0.297118763,-0.078703066,0.235989237,-0.459511609,0.237301398,0.369282804,0.197099441,0.372352236,0.16967397,0.095500671,0.158027245,0.335463507,0.155982162,0.550741433,0.149966505,0.190613776,0.156125764,-0.256008666,0.124912484,0.280759685,0.12358023,0.219890487,0.12941658,-0.284393066,0.132386583,0.204229914,0.112346735,-0.13011106,0.127312868,-0.143677506,0.104869862,0.267810204,0.100830039,-0.02161325,0.115640688,Normal
-10.1887779,1.627803146,0.048618847,0.00675499,478.6979972,178.0371219,0.09045006,0.007126229,0.142164352,0.020317839,0.059920794,0.05308604,0.041074917,0.015901769,5384.949438,953.2474825,1259.094664,492.7022395,4.608383606,0.301773081,-0.025078238,0.004692144,399.7131591,154.0884515,0.560995756,0.049865224,-10.78375305,1.36470678,4.811277147,0.319912086,1.037915303,0.220485265,-1.353876321,0.189064654,-0.38816472,0.161056059,0.193317637,0.14708806,0.21608478,0.144628518,0.496637777,0.179487704,-0.485979387,0.160960463,0.891027861,0.137266284,0.25959069,0.140128569,0.220252774,0.128039883,-0.231202181,0.117349513,-0.075667575,0.119325984,-0.083805811,0.113568643,0.176378448,0.097203092,0.192779518,0.104176897,0.165963789,0.088676094,-0.152489175,0.106139668,-0.067562215,0.086998041,Normal
